Role,Product,OpCo,Half,value,BaseColour,Present,,
Data & Analytics Manager,Healthcare / Medical,Data Integration,Bottom,4,#dcdb68,1,,
Data & Analytics Manager,Healthcare / Medical,Data Storage,Bottom,4,#add171,1,,
Data & Analytics Manager,Healthcare / Medical,Data Mining,Bottom,4,#7fba88,1,,
Data & Analytics Manager,Healthcare / Medical,Data Visualisation,Bottom,4,#83af9b,1,,
Data & Analytics Manager,Healthcare / Medical,Data Analysis,Bottom,4,#A9CBCF,1,,
Data & Analytics Manager,Healthcare / Medical,Blank,Bottom,2,,0,,
Business Analyst,TopBlank,Blank,Top,2,,0,,
Business Analyst,TopBlank,TopBlank,Top,32,#fcfcfc,,,
Business Analyst,TopBlank,Blank,Top,2,,0,,
Business Analyst,Finance & Insurance,Blank,Top,2,,0,,
Business Analyst,Finance & Insurance,Data Collection,Top,4,#fe4365,1,,
Business Analyst,Finance & Insurance,Data Cleaning,Top,4,#f37251,0,,
Business Analyst,Finance & Insurance,Programming Languages,Top,4,#e7b05d,,,
Business Analyst,Finance & Insurance,Data Integration,Top,4,#dcdb68,0,,
Business Analyst,Finance & Insurance,Data Storage,Top,4,#add171,0,,
Business Analyst,Finance & Insurance,Data Mining,Top,4,#7fba88,0,,
Business Analyst,Finance & Insurance,Data Visualisation,Top,4,#83af9b,1,,
Business Analyst,Finance & Insurance,Data Analysis,Top,4,#A9CBCF,1,,
